Feature,IncNodePurity
c3817,0
c3819,0
c3820,0
c3824,0
c3825,0
c3832,0
c3834,0
c3835,0
c3836,0
c3837,0
c3838,0
c3840,0
c3844,0.574275521
c3854,0
c3858,0
c3866,0
c3875,0
c3880,0
c3881,0
c3886,0
c3887,0
c3894,0
c3902,0
c3904,0
c3908,0
c3920,0
c3921,0.138510268
c3927,0
c3928,0
c3932,0
c3933,0
c3940,0
c3942,0
c3943,0
c3954,0
c3956,0
c3957,0
c3959,0
c3963,0
c3965,0
c3966,0
c3973,0
c3976,0
c3977,0
c3993,0
c3997,0
c4002,0
c4011,0
c4015,0
c4017,0
c4021,0
c4024,0
c4028,0
c4030,0
c4033,0
c4036,0
c4037,0
c4040,0
c4042,0
c4044,0
c4049,0
c4051,0
c4052,0.460195801
c4066,0
c4070,0
c4071,0
c4075,0
c4080,0
c4081,0
c4083,0
c4084,0.052883722
c4088,0
c4094,0
c4099,0
c4100,0
c4102,0
c4105,0
c4121,0
c4127,0
c4128,0
c4133,0
c4134,0
c4142,0.598709992
c4146,0
c4148,0
c4151,0
c4154,0
c4157,0
c4161,0
c4179,0
c4184,0
c4187,0
c4192,0
c4197,0
c4198,0
c4205,0
c4206,0
c4211,0
c4214,0
c4218,0
c4224,0
c4229,0
c4242,0
c4249,0
c4253,0
c4254,0
c4256,0
c4257,0
c4258,0
c4269,0
c4272,0
c4274,0
c4281,0
c4282,0
c4287,0
c4293,0
c4298,0
c4304,0
c4307,0
c4312,0
c4318,0
c4321,0
c4325,0
c4335,0
c4336,0
c4348,0
c4360,0
c4362,0
c4367,0
c4368,0
c4374,0
c4380,0
c4385,0
c4392,0
c4399,0
c4400,0
c4401,0
c4403,0
c4406,0
c4413,1.084879983
c4415,0.839699138
c4425,0
c4426,0
c4427,0
c4432,0
c4433,0
c4438,0
c4439,0
c4441,0
c4444,0
c4447,0
c4450,0
c4451,0.080681239
c4459,0
c4465,0
c4467,0
c4473,0
c4486,0
c4488,0
c4489,0
c4491,0.512666381
c4492,0
c4493,0
c4511,0
c4512,0
c4515,0
c4522,0
c4530,0
c4534,0
c4535,0
c4536,0
c4539,0
c4542,0
c4544,0
c4545,0
c4547,0
c4550,0
c4553,0
c4555,0
c4558,0
c4561,0
c4562,0
c4565,0
c4576,0
c4579,0
c4595,0
c4596,0
c4600,0
c4602,0
c4606,0
c4617,0
c4624,0
c4626,0
c4641,0
c4647,0
c4648,0
c4651,0
c4655,0
c4656,0
c4662,0
c4668,0
c4672,0
c4686,0
c4688,0
c4691,0
c4692,0
c4693,0
c4701,0
c4710,0
c4714,0
c4721,0
c4724,0
c4729,0
c4734,0
c4737,0
c4742,0
c4758,0
c4759,0
c4761,0
c4762,0
c4763,0
c4779,0
c4780,0
c4786,0
c4790,0
c4799,0
c4801,0
c4808,0.016990038
c4829,0
c4833,0
c4837,0
c4852,0
c4860,0
c4861,0
c4862,0
c4872,0
c4875,0
c4876,0
c4878,0
c4881,0
c4883,0
c4894,0
c4909,0
c4911,0
c4913,0
c4927,0
c4928,0
c4930,0
c4933,0
c4938,0
c4947,0
c4949,0
c4951,0
c4960,0
c4963,0
c4969,0
c4971,0
c4978,0
c4984,0
c4985,0
c4987,0
c4990,0
c4991,0
c4996,0
c5008,0
c5010,0
c5012,0
c5015,0
