"","V1","V2"
"357","HUS1","c357"
"358","DNAJC30","c358"
"359","HID1","c359"
"360","UIMC1","c360"
"361","FXYD2","c361"
"362","C17orf77","c362"
"363","ZNF667","c363"
"364","PTGES3L-AARSD1","c364"
"365","ZCCHC12","c365"
"366","TFEC","c366"
"367","ATP7B","c367"
"368","C2orf78","c368"
"369","POLD2","c369"
"370","ABCC6P1","c370"
"371","C1orf145","c371"
"372","ACOT2","c372"
"373","HIST1H4I","c373"
"374","ECRP","c374"
"375","PPARGC1A","c375"
"376","ETFA","c376"
"377","ZNF146","c377"
"378","POLRMT","c378"
"379","MIA2","c379"
"380","KLHL6","c380"
"381","LOC440311","c381"
"382","NENF","c382"
"383","HOXB5","c383"
"384","ARGFX","c384"
"385","PRSS22","c385"
"386","CASC4","c386"
"387","LOC400752","c387"
"388","LOC338799","c388"
"389","GTSF1","c389"
"390","CUL4B","c390"
"391","CENPJ","c391"
"392","PITX1","c392"
"393","AKIRIN1","c393"
"394","CELSR3","c394"
"395","LOC100132735","c395"
"396","LCN15","c396"
"397","DNAJC9","c397"
"398","ZNF568","c398"
"399","ITSN1","c399"
"400","LOC653486","c400"
"401","EHBP1L1","c401"
"402","MT1DP","c402"
"403","DCTN1","c403"
"404","LIN28B","c404"
"405","TNKS2","c405"
"406","TMEM241","c406"
"407","DUX4L3","c407"
"408","C1QBP","c408"
"409","CADPS2","c409"
"410","SRMS","c410"
"411","GJA9","c411"
"412","TRIM45","c412"
"413","LOC392232","c413"
"414","TCP1","c414"
"415","TMED7","c415"
"416","CMA1","c416"
"417","CENPL","c417"
"418","PTCRA","c418"
"419","FST","c419"
"420","VWCE","c420"
"421","PAWR","c421"
"422","TBC1D3B","c422"
"423","SNORD91A","c423"
"424","ABCC12","c424"
"425","SYCE3","c425"
"426","LDLR","c426"
"427","CXCR2P1","c427"
"428","ASTN2","c428"
"429","LINC00577","c429"
"430","TAB2","c430"
"431","GPATCH8","c431"
"432","TANC2","c432"
"433","KIF4A","c433"
"434","FAM161A","c434"
"435","PGM1","c435"
"436","SNORA11C","c436"
"437","CPD","c437"
"438","SNORD116-7","c438"
"439","SNCAIP","c439"
"440","DCT","c440"
"441","ANXA8","c441"
"442","HLA-DOA","c442"
"443","LOC340073","c443"
"444","OR11L1","c444"
"445","UPK1B","c445"
"446","DNAJB4","c446"
"447","UGT1A8","c447"
"448","HIST1H4L","c448"
"449","GOLGA8EP","c449"
"450","PECR","c450"
"451","WFIKKN1","c451"
"452","MIR16-2","c452"
"453","HSPA2","c453"
"454","SERP1","c454"
"455","SYDE2","c455"
"456","CNTNAP3B","c456"
"457","C15orf60","c457"
"458","TACR2","c458"
"459","SVOPL","c459"
"460","NUP85","c460"
"461","SNORA18","c461"
"462","CD177","c462"
"463","EDDM3B","c463"
"464","PIGG","c464"
"465","LGR5","c465"
"466","MIR3671","c466"
"467","LINC00348","c467"
"468","LOC574538","c468"
"469","SCARNA2","c469"
"470","RAB5A","c470"
"471","LRRC16B","c471"
"472","FLJ13224","c472"
"473","DCAF11","c473"
"474","USP9Y","c474"
"475","C7orf53","c475"
"476","PLEKHM3","c476"
"477","LRP1B","c477"
"478","XAF1","c478"
"479","TMEM244","c479"
"480","ENKUR","c480"
"481","ANKDD1A","c481"
"482","ABCG8","c482"
"483","MIR4444-1","c483"
"484","LOC100505474","c484"
"485","DAND5","c485"
"486","SPAG6","c486"
"487","LOC100133161","c487"
"488","ZDHHC22","c488"
"489","CCDC60","c489"
"490","THOC7","c490"
"491","TCTA","c491"
"492","OR8K3","c492"
"493","GGTLC2","c493"
"494","B2M","c494"
"495","LPPR4","c495"
"496","C6orf141","c496"
"497","SQLE","c497"
"498","LOC100129046","c498"
"499","SEPHS1","c499"
"500","GLIPR2","c500"
"501","PLRG1","c501"
"502","SPG7","c502"
"503","ZNF614","c503"
"504","ZMYM6NB","c504"
"505","PARD6G","c505"
"506","FAM41C","c506"
"507","MIR221","c507"
"508","LINC00516","c508"
"509","PTCHD3P1","c509"
"510","INPP5B","c510"
"511","GRPEL2","c511"
"512","PPID","c512"
"513","TRIM56","c513"
"514","UBE2J1","c514"
"515","MIR3150A","c515"
"516","IL20RA","c516"
"517","MIR4439","c517"
"518","SNORA75","c518"
"519","UTS2R","c519"
"520","SAFB2","c520"
"521","DNAJC25","c521"
"522","KLRG1","c522"
"523","NEURL3","c523"
"524","MS4A8B","c524"
"525","LOC100130155","c525"
"526","E2F4","c526"
"527","CLEC4M","c527"
"528","TAC1","c528"
"529","GYPA","c529"
"530","TRAIP","c530"
"531","LOC284412","c531"
"532","LOC729852","c532"
"533","KIAA0232","c533"
"534","ERCC8","c534"
"535","GPX4","c535"
"536","KIAA0368","c536"
"537","MSS51","c537"
"538","GPR157","c538"
"539","OR52A1","c539"
"540","FAM199X","c540"
"541","CTAGE4","c541"
"542","ALG9","c542"
"543","BTBD10","c543"
"544","SDK2","c544"
"545","BAIAP3","c545"
"546","RABGGTB","c546"
"547","ANKRD40","c547"
"548","LOC100289673","c548"
"549","KRT74","c549"
"550","CALCOCO2","c550"
"551","LOC100128993","c551"
"552","SNCA","c552"
"553","SPATS2L","c553"
"554","C2orf53","c554"
"555","ESRRB","c555"
"556","SLC48A1","c556"
"557","ARHGAP26","c557"
"558","TDRD9","c558"
"559","PRCD","c559"
"560","CDK16","c560"
"561","KLRC4","c561"
"562","HRAS","c562"
"563","JAGN1","c563"
"564","BSDC1","c564"
"565","RNF43","c565"
"566","NDUFAF1","c566"
"567","PHF12","c567"
"568","HOTAIRM1","c568"
"569","KRTAP4-8","c569"
"570","OR1L3","c570"
"571","FOLR2","c571"
"572","PLAC8L1","c572"
"573","LYZL6","c573"
"574","LEMD1-AS1","c574"
"575","WSB1","c575"
"576","PROS1","c576"
"577","OSTN","c577"
"578","SOCS4","c578"
"579","PSMB8","c579"
"580","SDR39U1","c580"
"581","DDIT4L","c581"
"582","MAS1","c582"
"583","TBCCD1","c583"
"584","MGC34796","c584"
"585","CSHL1","c585"
"586","MIR548A1","c586"
"587","SCARNA16","c587"
"588","ZBTB7C","c588"
"589","AP2S1","c589"
"590","VAT1","c590"
"591","SHANK3","c591"
"592","TUFM","c592"
"593","OR7E5P","c593"
"594","THEG","c594"
"595","KRT34","c595"
"596","SGSM3","c596"
"597","FOLR4","c597"
"598","TOMM22","c598"
"599","SOCS3","c599"
"600","CPO","c600"
