"","V1","V2"
"13117","PP7080","c13117"
"13118","CHD6","c13118"
"13119","LOC541471","c13119"
"13120","LOC728377","c13120"
"13121","MIR181B1","c13121"
"13122","FAT2","c13122"
"13123","LOC646329","c13123"
"13124","ZNF81","c13124"
"13125","OR4C16","c13125"
"13126","LOC100131060","c13126"
"13127","LRRC4","c13127"
"13128","OR52I1","c13128"
"13129","SPICE1","c13129"
"13130","CS","c13130"
"13131","N4BP2","c13131"
"13132","ZNF318","c13132"
"13133","IGFBP7","c13133"
"13134","NDNL2","c13134"
"13135","ZNF609","c13135"
"13136","SNORD115-43","c13136"
"13137","SIRT4","c13137"
"13138","MIR1244-3","c13138"
"13139","POTEE","c13139"
"13140","GOLGA6D","c13140"
"13141","EXOSC10","c13141"
"13142","LOC100506599","c13142"
"13143","ECE2","c13143"
"13144","OVGP1","c13144"
"13145","FAM194B","c13145"
"13146","GTPBP3","c13146"
"13147","PACS2","c13147"
"13148","LOC100129361","c13148"
"13149","ARL4C","c13149"
"13150","UBQLNL","c13150"
"13151","ATG4B","c13151"
"13152","RHOXF2B","c13152"
"13153","PLEKHG2","c13153"
"13154","LOC388849","c13154"
"13155","GAGE13","c13155"
"13156","NCEH1","c13156"
"13157","AQP4","c13157"
"13158","GALR1","c13158"
"13159","FBRSL1","c13159"
"13160","LOC400558","c13160"
"13161","DCUN1D3","c13161"
"13162","PAN2","c13162"
"13163","CCRN4L","c13163"
"13164","OR8A1","c13164"
"13165","CBR4","c13165"
"13166","KIFC1","c13166"
"13167","SLC7A14","c13167"
"13168","EMC3","c13168"
"13169","POC5","c13169"
"13170","LHX5","c13170"
"13171","LOC100128787","c13171"
"13172","MAFG-AS1","c13172"
"13173","F8A3","c13173"
"13174","TRPC7","c13174"
"13175","LPXN","c13175"
"13176","IDNK","c13176"
"13177","SERPINA1","c13177"
"13178","LOC285441","c13178"
"13179","CCDC13-AS1","c13179"
"13180","LOC100286922","c13180"
"13181","RPS13","c13181"
"13182","NPPA-AS1","c13182"
"13183","PRKAA1","c13183"
"13184","FADS2","c13184"
"13185","LOC286135","c13185"
"13186","ENAH","c13186"
"13187","SYNE4","c13187"
"13188","C3orf33","c13188"
"13189","FCGR1B","c13189"
"13190","LIPH","c13190"
"13191","RCC2","c13191"
"13192","CYP4F3","c13192"
"13193","ALDH1A2","c13193"
"13194","SHCBP1L","c13194"
"13195","LINC00535","c13195"
"13196","RNF103","c13196"
"13197","AHCY","c13197"
"13198","LOC440461","c13198"
"13199","ALG12","c13199"
"13200","MIR4657","c13200"
"13201","CCL17","c13201"
"13202","ZNF543","c13202"
"13203","ESRRG","c13203"
"13204","CNGA1","c13204"
"13205","RDH5","c13205"
"13206","ISPD","c13206"
"13207","OTX1","c13207"
"13208","PTGFR","c13208"
"13209","LINC00550","c13209"
"13210","CDR2","c13210"
"13211","SELE","c13211"
"13212","NLGN2","c13212"
"13213","BPIFC","c13213"
"13214","EXOSC9","c13214"
"13215","ZNF566","c13215"
"13216","KLRC2","c13216"
"13217","GPR12","c13217"
"13218","KIAA0196","c13218"
"13219","FAR2","c13219"
"13220","PCDHA2","c13220"
"13221","PDRG1","c13221"
"13222","SSR3","c13222"
"13223","MSI1","c13223"
"13224","CC2D1A","c13224"
"13225","CST9","c13225"
"13226","PLAGL1","c13226"
"13227","PCDHA11","c13227"
"13228","SNORA13","c13228"
"13229","FAM188A","c13229"
"13230","ZNF778","c13230"
"13231","RNF2","c13231"
"13232","KLF6","c13232"
"13233","THBD","c13233"
"13234","NR5A1","c13234"
"13235","ABCD2","c13235"
"13236","DNAJC7","c13236"
"13237","TM2D3","c13237"
"13238","CLEC4C","c13238"
"13239","LINC00626","c13239"
"13240","SMIM8","c13240"
"13241","DCD","c13241"
"13242","FAAH","c13242"
"13243","POLA1","c13243"
"13244","LOC100506122","c13244"
"13245","TM7SF2","c13245"
"13246","FLOT2","c13246"
"13247","MAP4K1","c13247"
"13248","LOC100130417","c13248"
"13249","SRP68","c13249"
"13250","OR5M1","c13250"
"13251","HS6ST2-AS1","c13251"
"13252","ARPC5","c13252"
"13253","ZDHHC4","c13253"
"13254","HECW2","c13254"
"13255","SLC25A3P1","c13255"
"13256","ANKRD42","c13256"
"13257","ABCA8","c13257"
"13258","PDE9A","c13258"
"13259","NDUFS2","c13259"
"13260","UBR5","c13260"
"13261","BTBD16","c13261"
"13262","ZNF20","c13262"
"13263","METTL10","c13263"
"13264","PEAK1","c13264"
"13265","KCNQ1OT1","c13265"
"13266","ZNF816-ZNF321P","c13266"
"13267","PITHD1","c13267"
"13268","WDR17","c13268"
"13269","RNF113A","c13269"
"13270","CAMKK1","c13270"
"13271","NHP2","c13271"
"13272","CLCN2","c13272"
"13273","ANXA6","c13273"
"13274","HIST2H2AA4","c13274"
"13275","RNF216P1","c13275"
"13276","EMID1","c13276"
"13277","DPM3","c13277"
"13278","C22orf42","c13278"
"13279","SLC25A13","c13279"
"13280","SMPD1","c13280"
"13281","KRT24","c13281"
"13282","TH","c13282"
"13283","COL6A2","c13283"
"13284","TMEM132C","c13284"
"13285","ANKS1B","c13285"
"13286","GPR126","c13286"
"13287","ZC3H12A","c13287"
"13288","TMEM47","c13288"
"13289","MFSD2A","c13289"
"13290","LOC100506451","c13290"
"13291","CNTF","c13291"
"13292","SDC4P","c13292"
"13293","HSF2BP","c13293"
"13294","AKAP10","c13294"
"13295","RPAP3","c13295"
"13296","KLHDC8B","c13296"
"13297","STOM","c13297"
"13298","LOC100287632","c13298"
"13299","PLEKHA3","c13299"
"13300","LOC283335","c13300"
"13301","TCP11L1","c13301"
"13302","CWF19L1","c13302"
"13303","LOC100507547","c13303"
"13304","ROCK1P1","c13304"
"13305","MIR548A3","c13305"
"13306","ARPP19","c13306"
"13307","MIR100HG","c13307"
"13308","SPEF1","c13308"
"13309","BOLA2","c13309"
"13310","DCDC2B","c13310"
"13311","ELN","c13311"
"13312","SAMD8","c13312"
"13313","MPI","c13313"
"13314","CHIAP2","c13314"
"13315","MEPCE","c13315"
"13316","ZEB1-AS1","c13316"
"13317","LNP1","c13317"
"13318","ABCC3","c13318"
"13319","RRAGA","c13319"
"13320","HLA-DMB","c13320"
"13321","KCNK17","c13321"
"13322","ANGEL1","c13322"
"13323","CPN1","c13323"
"13324","BRE-AS1","c13324"
"13325","HLA-A","c13325"
"13326","OR9G4","c13326"
"13327","EDNRB","c13327"
"13328","SDHAP1","c13328"
"13329","SCD","c13329"
"13330","C14orf80","c13330"
"13331","FAM167A","c13331"
"13332","BAGE2","c13332"
"13333","RCVRN","c13333"
"13334","ZNF518A","c13334"
"13335","SHANK1","c13335"
"13336","NLRP7","c13336"
"13337","CD226","c13337"
"13338","UBXN10","c13338"
"13339","STAT3","c13339"
"13340","ANXA2R","c13340"
"13341","SYNJ2","c13341"
"13342","SPATA31A1","c13342"
"13343","WDR36","c13343"
"13344","TPCN2","c13344"
"13345","KRTAP10-6","c13345"
"13346","MBD4","c13346"
"13347","ST3GAL6","c13347"
"13348","SLAMF8","c13348"
"13349","ROBO1","c13349"
"13350","ATN1","c13350"
"13351","LOC113230","c13351"
"13352","GPR141","c13352"
"13353","KRT36","c13353"
"13354","TPH1","c13354"
"13355","ZSCAN29","c13355"
"13356","DDX52","c13356"
"13357","TRPT1","c13357"
"13358","SNORD116-14","c13358"
"13359","ZNF296","c13359"
"13360","HARBI1","c13360"
"13361","NOP16","c13361"
"13362","DPEP3","c13362"
"13363","TSPAN16","c13363"
"13364","DENND4A","c13364"
"13365","PTCHD2","c13365"
"13366","CAP1","c13366"
"13367","EIF5A2","c13367"
"13368","NT5DC3","c13368"
"13369","SEZ6L2","c13369"
"13370","9-Sep","c13370"
"13371","EGFLAM","c13371"
"13372","VPS11","c13372"
"13373","ARMCX5-GPRASP2","c13373"
"13374","NDUFB5","c13374"
"13375","CIDEA","c13375"
"13376","TMEM214","c13376"
"13377","LOC100303749","c13377"
"13378","FAM83C","c13378"
"13379","IER5L","c13379"
"13380","N6AMT1","c13380"
"13381","IRX1","c13381"
"13382","OXR1","c13382"
"13383","DGKB","c13383"
"13384","FBXW9","c13384"
"13385","WDR4","c13385"
"13386","SLIRP","c13386"
"13387","PDC","c13387"
"13388","VPS33B","c13388"
"13389","HEXB","c13389"
"13390","MIR24-1","c13390"
"13391","TCEB3","c13391"
"13392","SLC35G1","c13392"
"13393","CRLF1","c13393"
"13394","ABI3BP","c13394"
"13395","C8orf22","c13395"
"13396","PYCR1","c13396"
"13397","PRR15L","c13397"
"13398","LOC100289650","c13398"
"13399","CDK5R2","c13399"
"13400","WAS","c13400"
"13401","C12orf60","c13401"
"13402","CCBL2","c13402"
"13403","MADD","c13403"
"13404","C5orf34","c13404"
"13405","C7orf65","c13405"
"13406","EQTN","c13406"
"13407","KLF12","c13407"
"13408","MIR4306","c13408"
"13409","HSPA1A","c13409"
"13410","ITM2C","c13410"
"13411","DAPK2","c13411"
"13412","SUMF2","c13412"
"13413","CENPA","c13413"
"13414","TMED5","c13414"
"13415","TCTEX1D2","c13415"
"13416","CDH6","c13416"
"13417","GNAS-AS1","c13417"
"13418","GSTT2","c13418"
"13419","THG1L","c13419"
"13420","GABRA2","c13420"
"13421","C14orf166","c13421"
"13422","FAM226A","c13422"
"13423","LOC100129027","c13423"
"13424","MYL1","c13424"
"13425","TNFSF18","c13425"
"13426","GTDC2","c13426"
"13427","PPIB","c13427"
"13428","SCARNA11","c13428"
"13429","MIR3180-5","c13429"
"13430","KLHL4","c13430"
"13431","SFN","c13431"
"13432","CALY","c13432"
"13433","CCDC127","c13433"
"13434","PLSCR5","c13434"
"13435","GOLGA5","c13435"
"13436","C10orf95","c13436"
"13437","LOC100506385","c13437"
"13438","SNHG7","c13438"
"13439","OR5AN1","c13439"
"13440","PYDC2","c13440"
"13441","LACE1","c13441"
"13442","CENPN","c13442"
"13443","OR10K2","c13443"
"13444","TMED2","c13444"
"13445","UGT1A6","c13445"
"13446","ANG","c13446"
"13447","C2orf76","c13447"
"13448","ATG13","c13448"
"13449","OR5AC2","c13449"
"13450","C16orf88","c13450"
"13451","U2AF1","c13451"
"13452","CASC2","c13452"
"13453","NMT2","c13453"
"13454","OSGEPL1","c13454"
"13455","DFNB31","c13455"
"13456","FUT8-AS1","c13456"
"13457","SLC6A20","c13457"
"13458","MIR551A","c13458"
"13459","PPP1R26","c13459"
"13460","DKC1","c13460"
"13461","WDR64","c13461"
"13462","FXYD4","c13462"
"13463","CREBZF","c13463"
"13464","PRPSAP1","c13464"
"13465","DAZ1","c13465"
"13466","NSUN5P1","c13466"
"13467","GCHFR","c13467"
"13468","TTC7A","c13468"
"13469","UBD","c13469"
"13470","S100A1","c13470"
"13471","RPL6","c13471"
"13472","DNAJB6","c13472"
"13473","ATP6V0E2-AS1","c13473"
"13474","NAGS","c13474"
"13475","PRICKLE2-AS3","c13475"
"13476","RFX8","c13476"
"13477","KERA","c13477"
"13478","LINC00158","c13478"
"13479","FRMPD2","c13479"
"13480","UBE2B","c13480"
"13481","MT1X","c13481"
"13482","KEAP1","c13482"
"13483","MST1","c13483"
"13484","LINC00462","c13484"
"13485","OMA1","c13485"
"13486","BCL2L13","c13486"
"13487","ABLIM2","c13487"
"13488","TCF24","c13488"
"13489","JAZF1","c13489"
"13490","CCDC30","c13490"
"13491","CCT6P3","c13491"
"13492","TMEM63B","c13492"
"13493","S100A8","c13493"
"13494","MIR1248","c13494"
"13495","LOC100129427","c13495"
"13496","ARFIP2","c13496"
"13497","UROS","c13497"
"13498","C1orf140","c13498"
"13499","LOC339874","c13499"
"13500","TRAPPC10","c13500"
"13501","KHDRBS2","c13501"
"13502","CPQ","c13502"
"13503","IRG1","c13503"
"13504","FAM173A","c13504"
"13505","POLQ","c13505"
"13506","SPAG4","c13506"
"13507","SOAT1","c13507"
"13508","MAGEB5","c13508"
"13509","MRPS30","c13509"
"13510","LOC494141","c13510"
"13511","HSFX2","c13511"
"13512","KRTAP21-2","c13512"
"13513","OR2T11","c13513"
"13514","ZNF184","c13514"
"13515","TCEB3B","c13515"
"13516","ORAOV1","c13516"
"13517","ADAM21","c13517"
"13518","GDPD1","c13518"
"13519","PRR14","c13519"
"13520","KCTD9","c13520"
"13521","MIR3151","c13521"
"13522","PABPC4L","c13522"
"13523","PRR11","c13523"
"13524","SKA1","c13524"
"13525","KIRREL3-AS3","c13525"
"13526","SLC9B2","c13526"
"13527","NUDT3","c13527"
"13528","HIST1H4K","c13528"
"13529","DFNA5","c13529"
"13530","FGF13-AS1","c13530"
"13531","GABPA","c13531"
"13532","SNORA11","c13532"
"13533","ZNF260","c13533"
"13534","POLB","c13534"
"13535","SPACA5B","c13535"
"13536","PTAR1","c13536"
"13537","CCDC164","c13537"
"13538","NEBL-AS1","c13538"
"13539","MIR758","c13539"
"13540","SEC31A","c13540"
"13541","TRIM58","c13541"
"13542","IGJ","c13542"
"13543","TAS2R14","c13543"
"13544","VPS8","c13544"
"13545","PP2D1","c13545"
"13546","H1F0","c13546"
"13547","UGT2A1","c13547"
"13548","TOR1B","c13548"
"13549","KANSL1L","c13549"
"13550","LSS","c13550"
"13551","HNRNPC","c13551"
"13552","TMEM100","c13552"
"13553","SNORD115-12","c13553"
"13554","OR51M1","c13554"
"13555","UBAP1L","c13555"
"13556","GAPT","c13556"
"13557","CCDC142","c13557"
"13558","ISG15","c13558"
"13559","ZCCHC14","c13559"
"13560","ZBTB14","c13560"
"13561","CREBL2","c13561"
"13562","TGDS","c13562"
"13563","SNORD125","c13563"
"13564","KCNQ1DN","c13564"
"13565","CACNA2D3","c13565"
"13566","ZNF429","c13566"
"13567","TPRA1","c13567"
"13568","CCRL2","c13568"
"13569","DGKK","c13569"
"13570","LYPD6","c13570"
"13571","SUCLG1","c13571"
"13572","MKNK1-AS1","c13572"
"13573","LOC100499194","c13573"
"13574","OR51I1","c13574"
"13575","PRPF40A","c13575"
"13576","MAGEH1","c13576"
"13577","C9orf106","c13577"
"13578","SMR3A","c13578"
"13579","THAP2","c13579"
"13580","SPINK2","c13580"
"13581","C21orf54","c13581"
"13582","IRF4","c13582"
"13583","NPY5R","c13583"
"13584","SPESP1","c13584"
"13585","MIR449A","c13585"
"13586","OR10S1","c13586"
"13587","DTD1","c13587"
"13588","TUBE1","c13588"
"13589","CCDC149","c13589"
"13590","LINC00319","c13590"
"13591","DDX19A","c13591"
"13592","PDPN","c13592"
"13593","TMA16","c13593"
"13594","MIR423","c13594"
"13595","PLCXD1","c13595"
"13596","COL3A1","c13596"
"13597","MGAM","c13597"
"13598","MOB3A","c13598"
"13599","GFM2","c13599"
"13600","PHRF1","c13600"
"13601","LIPM","c13601"
"13602","OR5A2","c13602"
"13603","PSG9","c13603"
"13604","ARHGEF11","c13604"
"13605","ELOVL2-AS1","c13605"
"13606","IVNS1ABP","c13606"
"13607","LOC100505912","c13607"
"13608","SIGIRR","c13608"
"13609","VCX3B","c13609"
"13610","DUSP19","c13610"
"13611","DNAJC14","c13611"
"13612","ACSS1","c13612"
"13613","UBXN8","c13613"
"13614","IL1RAPL2","c13614"
"13615","LINC00111","c13615"
"13616","4-Sep","c13616"
"13617","LANCL3","c13617"
"13618","LOC339822","c13618"
"13619","SPAG17","c13619"
"13620","PRDX3","c13620"
"13621","HNF1A","c13621"
"13622","P4HA2","c13622"
"13623","RFWD3","c13623"
"13624","MOV10","c13624"
"13625","LRIF1","c13625"
"13626","SMC2","c13626"
"13627","PECAM1","c13627"
"13628","LOC283194","c13628"
"13629","TMEM9","c13629"
"13630","MIXL1","c13630"
"13631","ZNF174","c13631"
"13632","FAM86A","c13632"
"13633","PEX2","c13633"
"13634","CCR8","c13634"
"13635","MYH14","c13635"
"13636","LOC643669","c13636"
"13637","LRRC52","c13637"
"13638","CC2D2A","c13638"
"13639","VPS37C","c13639"
"13640","B3GNT8","c13640"
"13641","GPATCH1","c13641"
"13642","TBX4","c13642"
"13643","MIR636","c13643"
"13644","CNR2","c13644"
"13645","VWDE","c13645"
"13646","PCDH1","c13646"
"13647","TPRG1","c13647"
"13648","PMEL","c13648"
"13649","LOC255654","c13649"
"13650","OCIAD2","c13650"
"13651","KLHL33","c13651"
"13652","PLCG2","c13652"
"13653","MAGEA2B","c13653"
"13654","HRH3","c13654"
"13655","KIAA0247","c13655"
"13656","CAPN13","c13656"
"13657","CCR1","c13657"
"13658","UVRAG","c13658"
"13659","DNAJA2","c13659"
"13660","PTPRN2","c13660"
"13661","CLDN5","c13661"
"13662","ITGA2B","c13662"
"13663","ZNF512","c13663"
"13664","PSAP","c13664"
"13665","CCDC140","c13665"
"13666","LRRC55","c13666"
"13667","NCS1","c13667"
"13668","PRR21","c13668"
"13669","CYP26C1","c13669"
"13670","C8orf47","c13670"
"13671","LYN","c13671"
"13672","DUSP6","c13672"
"13673","LOC391322","c13673"
"13674","ELP5","c13674"
"13675","TGFB3","c13675"
"13676","DEFB109P1B","c13676"
"13677","ELK1","c13677"
"13678","PCDH11Y","c13678"
"13679","HGD","c13679"
"13680","C17orf58","c13680"
"13681","SERPINE2","c13681"
"13682","AARSD1","c13682"
"13683","MYO3A","c13683"
"13684","LOC100128239","c13684"
"13685","ADAM33","c13685"
"13686","ZNF491","c13686"
"13687","MAPK6","c13687"
"13688","TCN1","c13688"
"13689","KRTAP19-2","c13689"
"13690","PPAN-P2RY11","c13690"
"13691","SLC24A6","c13691"
"13692","UBE2R2","c13692"
"13693","RNFT1","c13693"
"13694","LRRC24","c13694"
"13695","H1FNT","c13695"
"13696","TATDN2","c13696"
"13697","LILRB1","c13697"
"13698","MIR523","c13698"
"13699","FAM65B","c13699"
"13700","BEND2","c13700"
"13701","NUCB2","c13701"
"13702","LOC401074","c13702"
"13703","SNX27","c13703"
"13704","RBMY3AP","c13704"
"13705","MTA3","c13705"
"13706","FOXO4","c13706"
"13707","ID4","c13707"
"13708","SOX5","c13708"
"13709","OR52M1","c13709"
"13710","SFT2D3","c13710"
"13711","INA","c13711"
"13712","FAM172BP","c13712"
"13713","MCOLN1","c13713"
"13714","SPG20OS","c13714"
"13715","NFIX","c13715"
"13716","CLEC14A","c13716"
"13717","HIBCH","c13717"
"13718","MIR5087","c13718"
"13719","PLA2G5","c13719"
"13720","TIMM10","c13720"
"13721","IL9R","c13721"
"13722","LOC100505633","c13722"
"13723","MED17","c13723"
"13724","MIR548H3","c13724"
"13725","COL4A4","c13725"
"13726","TPP1","c13726"
"13727","GJA3","c13727"
"13728","TMPRSS5","c13728"
"13729","AADACL3","c13729"
"13730","DNMBP","c13730"
"13731","ENPP5","c13731"
"13732","NQO1","c13732"
"13733","ZSCAN2","c13733"
"13734","SEC24C","c13734"
"13735","GTF2A1L","c13735"
"13736","AXIN2","c13736"
"13737","C16orf13","c13737"
"13738","TAF1","c13738"
"13739","SPNS2","c13739"
"13740","CT47A8","c13740"
"13741","PION","c13741"
"13742","AP1G2","c13742"
"13743","RBM42","c13743"
"13744","HCN2","c13744"
"13745","EFHB","c13745"
"13746","RUSC1","c13746"
"13747","FGF14-IT1","c13747"
"13748","GRIK5","c13748"
"13749","USP21","c13749"
"13750","SNORD38A","c13750"
"13751","ATAD3C","c13751"
"13752","LINC00602","c13752"
"13753","ORMDL2","c13753"
"13754","GGT7","c13754"
"13755","FAM177B","c13755"
"13756","PSAT1","c13756"
"13757","ACSM4","c13757"
"13758","LINC00538","c13758"
"13759","TBC1D1","c13759"
"13760","IFNG","c13760"
"13761","OTOS","c13761"
"13762","TGM6","c13762"
"13763","ZNF773","c13763"
"13764","EMD","c13764"
"13765","RETN","c13765"
"13766","APH1A","c13766"
"13767","CCL8","c13767"
"13768","SLC6A19","c13768"
"13769","COX18","c13769"
"13770","CCDC82","c13770"
"13771","GTF2IRD2","c13771"
"13772","PAFAH2","c13772"
"13773","NPEPL1","c13773"
"13774","TP53INP1","c13774"
"13775","HCG4B","c13775"
"13776","NAV2-AS5","c13776"
"13777","ZNF300","c13777"
"13778","FOXL2","c13778"
"13779","FDXACB1","c13779"
"13780","LATS1","c13780"
"13781","HTR6","c13781"
"13782","MIR26A2","c13782"
"13783","SPOCK2","c13783"
"13784","RNF144B","c13784"
"13785","HTATIP2","c13785"
"13786","FAM27C","c13786"
"13787","FGF2","c13787"
"13788","FXYD7","c13788"
"13789","ZSCAN25","c13789"
"13790","SNORA74B","c13790"
"13791","PHYHIPL","c13791"
"13792","GPR34","c13792"
"13793","LOC728084","c13793"
"13794","DDX6","c13794"
"13795","OR10W1","c13795"
"13796","C15orf53","c13796"
"13797","LHFPL1","c13797"
"13798","VPS28","c13798"
"13799","AP3M1","c13799"
"13800","TRAF4","c13800"
"13801","ZNF460","c13801"
"13802","LOC100507032","c13802"
"13803","OR2B11","c13803"
"13804","C19orf12","c13804"
"13805","APITD1-CORT","c13805"
"13806","AKAP9","c13806"
"13807","HNRNPAB","c13807"
"13808","KRTAP10-3","c13808"
"13809","SLC20A1","c13809"
"13810","ENTPD3-AS1","c13810"
"13811","LDB2","c13811"
"13812","MRPS23","c13812"
"13813","KLK5","c13813"
"13814","SPTB","c13814"
"13815","LOC100216545","c13815"
"13816","LOC100873065","c13816"
"13817","PGAP3","c13817"
"13818","EFEMP2","c13818"
"13819","EFNB2","c13819"
"13820","PCM1","c13820"
"13821","HLTF-AS1","c13821"
"13822","NMNAT3","c13822"
"13823","TSG101","c13823"
"13824","C8orf40","c13824"
"13825","NOB1","c13825"
"13826","ITPK1-AS1","c13826"
"13827","ABHD3","c13827"
"13828","GTF3C4","c13828"
"13829","PIGN","c13829"
"13830","AEBP1","c13830"
"13831","SHISA9","c13831"
"13832","PLBD1","c13832"
"13833","ABCA17P","c13833"
"13834","ANKRD2","c13834"
"13835","OR9Q1","c13835"
"13836","CCL28","c13836"
"13837","TRIM38","c13837"
"13838","TMCC1","c13838"
"13839","PLEC","c13839"
"13840","SMG5","c13840"
"13841","LRRC7","c13841"
"13842","MIR5695","c13842"
"13843","CYCSP52","c13843"
"13844","NCAPD2","c13844"
"13845","SLC25A6","c13845"
"13846","C1orf74","c13846"
"13847","LOC100144595","c13847"
"13848","DCP2","c13848"
"13849","OTUD6A","c13849"
"13850","GLYR1","c13850"
"13851","RPL18","c13851"
"13852","TMEM177","c13852"
"13853","LRRC37A3","c13853"
"13854","C1D","c13854"
"13855","PROB1","c13855"
"13856","LDHC","c13856"
"13857","SNHG8","c13857"
"13858","UBE4B","c13858"
"13859","PAPL","c13859"
"13860","NIT1","c13860"
"13861","BTN3A3","c13861"
"13862","MIR3651","c13862"
"13863","RASD1","c13863"
"13864","COMMD3","c13864"
"13865","SHFM1","c13865"
"13866","LOC643837","c13866"
"13867","BIRC8","c13867"
"13868","DUT","c13868"
"13869","SSX2B","c13869"
"13870","LRRC59","c13870"
"13871","LY6H","c13871"
"13872","LARP1B","c13872"
"13873","LINC00052","c13873"
"13874","EDEM1","c13874"
"13875","COL6A4P1","c13875"
"13876","OR2L8","c13876"
"13877","LOC100507053","c13877"
"13878","ADH1A","c13878"
"13879","PANX2","c13879"
"13880","CYP11B1","c13880"
"13881","CDC73","c13881"
"13882","ANGPTL6","c13882"
"13883","GSTM3","c13883"
"13884","ZNF280B","c13884"
"13885","C19orf54","c13885"
"13886","EIF3L","c13886"
"13887","LOC100505658","c13887"
"13888","SPRY3","c13888"
"13889","KCNA5","c13889"
"13890","SERAC1","c13890"
"13891","FAM86EP","c13891"
"13892","NFATC2","c13892"
"13893","ANAPC5","c13893"
"13894","STAU2-AS1","c13894"
"13895","NFATC2IP","c13895"
"13896","TNRC6C","c13896"
"13897","CCDC144NL","c13897"
"13898","FGD5","c13898"
"13899","MED9","c13899"
"13900","KRT16P3","c13900"
"13901","RAB13","c13901"
"13902","CRYGS","c13902"
"13903","LOC283693","c13903"
"13904","COX6B2","c13904"
"13905","LOC100131089","c13905"
"13906","PHF14","c13906"
"13907","FAM3A","c13907"
"13908","RPL13","c13908"
"13909","PRDX2","c13909"
"13910","LINC00202-2","c13910"
"13911","TRIM10","c13911"
"13912","PRMT3","c13912"
"13913","KCTD19","c13913"
"13914","GCNT4","c13914"
"13915","OTOGL","c13915"
"13916","GPRASP1","c13916"
"13917","LINC00840","c13917"
"13918","CDKN1C","c13918"
"13919","RHBDL2","c13919"
"13920","USP17L5","c13920"
"13921","HSPH1","c13921"
"13922","AQP1","c13922"
"13923","COL17A1","c13923"
"13924","GFAP","c13924"
"13925","LOC344967","c13925"
"13926","CDC16","c13926"
"13927","C6orf118","c13927"
"13928","KIAA1614","c13928"
"13929","LOC283403","c13929"
"13930","KIF24","c13930"
"13931","ZSWIM5","c13931"
"13932","FAM83F","c13932"
"13933","UBA2","c13933"
"13934","SNAR-A14","c13934"
"13935","LYNX1","c13935"
"13936","XG","c13936"
"13937","SYNPR","c13937"
"13938","PRSS16","c13938"
"13939","KIF13B","c13939"
"13940","SUGP2","c13940"
"13941","KRTAP4-1","c13941"
"13942","LOC339535","c13942"
"13943","PCDH9","c13943"
"13944","RBM18","c13944"
"13945","HIST1H2AH","c13945"
"13946","ZNF626","c13946"
"13947","HEXIM2","c13947"
"13948","ITFG1","c13948"
"13949","TUBG2","c13949"
"13950","ARHGEF33","c13950"
"13951","IGFL3","c13951"
"13952","EXTL1","c13952"
"13953","CT47A3","c13953"
"13954","WDR5","c13954"
"13955","GBP3","c13955"
"13956","MIR324","c13956"
"13957","RARG","c13957"
"13958","CECR6","c13958"
"13959","MYO7A","c13959"
"13960","H2AFB2","c13960"
"13961","ACVR1B","c13961"
"13962","PSMD1","c13962"
"13963","C7orf31","c13963"
"13964","ILVBL","c13964"
"13965","SNORD56","c13965"
"13966","C9orf170","c13966"
"13967","MIR3620","c13967"
"13968","RNF186","c13968"
"13969","IFNGR1","c13969"
"13970","NOL9","c13970"
"13971","MAGEL2","c13971"
"13972","SLC29A2","c13972"
"13973","SNAR-A12","c13973"
"13974","RNF219","c13974"
"13975","NHSL1","c13975"
"13976","RBMX","c13976"
"13977","PSORS1C2","c13977"
"13978","LOC84931","c13978"
"13979","LCN6","c13979"
"13980","ORAI2","c13980"
"13981","CDC123","c13981"
"13982","OR4K5","c13982"
"13983","LINC00028","c13983"
"13984","DTHD1","c13984"
"13985","MSLN","c13985"
"13986","ZNF700","c13986"
"13987","WWTR1","c13987"
"13988","UBE2Q2P3","c13988"
"13989","COBL","c13989"
"13990","PPP1R16B","c13990"
"13991","GAS7","c13991"
"13992","HAVCR1P1","c13992"
"13993","HAAO","c13993"
"13994","MDN1","c13994"
"13995","HLA-DRB1","c13995"
"13996","TNFAIP2","c13996"
"13997","FOXN1","c13997"
"13998","RPL41","c13998"
"13999","ATP6V0D2","c13999"
"14000","OR2T3","c14000"
"14001","SLC38A1","c14001"
"14002","ARHGAP6","c14002"
"14003","CRSP8P","c14003"
"14004","ADAD2","c14004"
"14005","PHF20L1","c14005"
"14006","ZNF733P","c14006"
"14007","MCM3AP","c14007"
"14008","ST3GAL3","c14008"
"14009","SNX1","c14009"
"14010","SOWAHC","c14010"
"14011","LOC100507387","c14011"
"14012","ELF5","c14012"
"14013","RBM8A","c14013"
"14014","PARP3","c14014"
"14015","ITGA9","c14015"
"14016","LINGO4","c14016"
"14017","MIR3175","c14017"
"14018","ZFR","c14018"
"14019","ACSL6","c14019"
"14020","DAOA","c14020"
"14021","FABP4","c14021"
"14022","KCNB1","c14022"
"14023","CANX","c14023"
"14024","NIM1","c14024"
"14025","SLC25A28","c14025"
"14026","ADIPOR2","c14026"
"14027","TMEM150A","c14027"
"14028","SCGB2B3P","c14028"
"14029","LOC400891","c14029"
"14030","ECHDC2","c14030"
"14031","FAM25G","c14031"
"14032","SMA4","c14032"
"14033","FRZB","c14033"
"14034","DMRTB1","c14034"
"14035","PABPC1","c14035"
"14036","APOBEC3G","c14036"
"14037","CATSPER2","c14037"
